Year,Country,Image url,Region code,Region,Overall Rank,Happiness Score,Happiness Status,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
2017,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,19,AMERICAS,50,5.956,Green,0.907975,1.08142,0.450192,0.547509,0.240016,0.0965811
2018,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,19,AMERICAS,48,5.956,Green,0.807,1.101,0.474,0.593,0.183,0.089
2015,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2,AFRICA,155,3.34,Green,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801
2016,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2,AFRICA,153,3.484,Green,0.39499,0.10419,0.21028,0.39747,0.2018,0.06681
2017,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2,AFRICA,143,3.657,Green,0.431085,0.4353,0.20993,0.425963,0.207948,0.060929
2018,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2,AFRICA,135,4.141,Green,0.378,0.372,0.24,0.44,0.163,0.067
2019,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2,AFRICA,102,4.883,Green,0.393,0.437,0.397,0.349,0.175,0.082
2015,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142,ASIA,79,5.253,Green,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445
2016,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142,ASIA,84,5.196,Green,0.8527,0.90836,0.49759,0.46074,0.48546,0.1616
2017,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142,ASIA,97,5.011,Green,0.885416,1.34013,0.495879,0.501538,0.474055,0.17338
2018,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142,ASIA,96,5.082,Green,0.796,1.335,0.527,0.541,0.364,0.171
2019,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142,ASIA,95,5.082,Green,0.813,1.321,0.604,0.457,0.37,0.167
2015,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19,AMERICAS,51,5.89,Green,0.68133,0.97841,0.5392,0.57414,0.20536,0.088
2016,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19,AMERICAS,59,5.822,Green,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746
2017,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19,AMERICAS,58,5.823,Green,0.833757,1.22762,0.47363,0.558733,0.225561,0.0604777
